project_id,project_name,project_type,total_cost,people_benefitted,structures_benefitted,channel_capacity_class,excess_rainfall_class,drainage_infra_quality,svi_class,maintenance_class,environment_channel_class,row_subdivision_class,multiple_benefits_channel_class,district_improvement_synergy,notes,svi,Exc_Rain,PipeLength,Road_Riv_ft,Road_ROG_ft,Road_Max,Mean Area Weighted SVI,Mean Area Weighted LMI,ROG_St_Dep,ROG_Are_Dep
23,Woodland Trails West,subdivision_drainage,13864130,508,49,,,medium,,regular,,within_existing_row,,no,,0.492693,1.12127,12778,6507.20818,6479.868981,6507.20818,0.492693,0.250375,0.433495,0.822817
24,McKamey Meadows,subdivision_drainage,14593250,737,148,,,medium,,regular,,within_existing_row,,no,,0.618971,1.325773,13450,7001.927032,7018.821361,7018.821361,0.618971,0.384306,0.646106,1.325773
25,Lincoln Green Estates,subdivision_drainage,15788920,1014,55,,,medium,,regular,,within_existing_row,,no,,0.620682,0.966909,14552,7340.41204,7568.482573,7568.482573,0.620682,0.384801,0.159361,0.966909
26,Silverglen Estates,subdivision_drainage,27849780,1655,30,,,high,,regular,,within_existing_row,,no,,0.533513,1.026854,25668,13422.25972,13667.49341,13667.49341,0.533513,0.491702,0.162581,1.026854
27,King Lake Forest R/P,subdivision_drainage,26241810,1198,102,,,medium,,regular,,within_existing_row,,no,,0.774543,0.949234,24186,11472.51125,11552.49666,11552.49666,0.774543,0.547062,0.429272,0.948345
28,Woodgate,subdivision_drainage,15276800,304,118,,,medium,,regular,,within_existing_row,,no,,0.709712,1.730058,14080,7907.62271,7798.316027,7907.62271,0.709712,0.545083,0.951799,1.32816
29,Morningside Place,subdivision_drainage,32882010,1011,1,,,medium,,regular,,within_existing_row,,no,,0.445176,1.768152,30306,15657.29125,0,15657.29125,0.445176,0.159121,0,0
30,Brunswick Lake I,subdivision_drainage,10381280,369,1,,,high,,regular,,within_existing_row,,no,,0.413318,0.963746,9568,5416.23275,0,5416.23275,0.413318,0.178494,0,0
31,Brunswick Lake II,subdivision_drainage,6277810,217,1,,,high,,regular,,within_existing_row,,no,,0.415714,1.347236,5786,3179.779374,0,3179.779374,0.415714,0.179108,0,0
32,Brunswick Lake III,subdivision_drainage,18837770,560,1,,,high,,regular,,within_existing_row,,no,,0.439678,1.158519,17362,8401.109348,0,8401.109348,0.439678,0.225301,0,0
